date,state,cases,predict,lower,upper
2020-05-05,Kansas,,12688.409975051936,8460.654848228784,16916.16510187509
2020-05-06,Kansas,,14146.883401411302,9115.402914452307,19178.3638883703
2020-05-07,Kansas,,15712.541001439235,9792.772029047275,21632.309973831194
2020-05-08,Kansas,,17378.10066496092,10481.452360970809,24274.748968951033
2020-04-23,Missouri,,6321.0,6321.0,6321.0
2020-04-24,Missouri,,6507.949914863856,6391.853324717626,6624.046505010087
2020-04-25,Missouri,,6698.922087526102,6458.320150615621,6939.524024436581
2020-04-26,Missouri,,6893.916517986737,6520.933523132945,7266.899512840529
2020-04-27,Missouri,,7092.933206245762,6580.136379345586,7605.730033145939
2020-04-28,Missouri,,7295.972152303177,6636.3043930821395,7955.639911524215
2020-04-29,Missouri,,7503.033356158981,6689.761450216239,8316.305262101725
2020-04-30,Missouri,,7714.116817813176,6740.790555417984,8687.443080208368
2020-05-01,Missouri,,7929.222537265761,6789.64177072493,9068.803303806591
2020-05-02,Missouri,,8148.350514516735,6836.538150183815,9460.162878849655
2020-05-03,Missouri,,8371.500749566098,6881.680277532095,9861.321221600101
2020-05-04,Missouri,,8598.673242413852,6925.2498032561525,10272.096681571551
2020-05-05,Missouri,,8829.867993059994,6967.412248023303,10692.323738096686
2020-05-06,Missouri,,9065.085001504527,7008.319257252064,11121.85074575699
2020-05-07,Missouri,,9304.32426774745,7048.110437706885,11560.538097788014
2020-05-08,Missouri,,9547.585791788762,7086.914870763703,12008.256712813822
2020-04-23,Vermont,,825.0,825.0,825.0
2020-04-24,Vermont,,837.2990161643049,825.0,849.5980323286099
2020-04-25,Vermont,,854.2782380653357,825.0,883.5564761306714
2020-04-26,Vermont,,874.8487081374504,825.0,924.6974162749009
2020-04-27,Vermont,,898.4467404660559,825.0,971.8934809321117
2020-04-28,Vermont,,924.7121086883054,825.0,1024.4242173766108
2020-04-29,Vermont,,953.3889328863056,825.0,1081.7778657726112
2020-04-30,Vermont,,984.2833197167488,825.0,1143.5666394334976
